Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Last_Year_Actual_Work_Time_Remotely,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_Year_Preferred_Work_Time_Remotely,Last_3Months_Actual_Work_Time_Remotely,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_3Months_Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Best_Aspects,Worst_Aspects
1337,1989,Female,Financial and Insurance Services,Professionals - Health Professionals,More than 200,5,No,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 1% - 9% - Less than 10% of my time",100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,100% - All of my time,100% - All of my time,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 50 %,1,8,4,0,1,8,4,0,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Preparing for work and commuting,Preparing for work and commuting
1338,1984,Female,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 20%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,100% - All of my time," 20%",Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3,Level Of The Productivity Is The Same,2,8,13,1,0,8,14,2,Lack of motivation,Lack of motivation,My work-life balance,My opportunities to socialise
1339,1981,Female,"Transport, Postal and Warehousing",Professionals - ICT Professionals,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working",Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5," 1% - 9% - Less than 10% of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 10 %,1,8,0,0,0,8,0,0,Connectivity (internet connection),Feeling left out and/or isolated,My work-life balance,My working relationships
1340,1990,Male,Construction,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 40%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3," 40%"," 30%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4," 30%"," 30%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Less Productive By 20 %,3,7,8,6,3,7,8,6,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,Managing my family responsibilities,Preparing for work and commuting
1341,1987,Male,Arts and Recreation Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 60%"," 40%",Somewhat agree,4,Somewhat disagree,2,Strongly disagree,1,Strongly agree,5,Strongly agree,5,Strongly agree,5," 70%"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,1,8,1,2,0.2,8,3,4,I have tasks that can't be done remotely,I have tasks that can't be done remotely,My work-life balance,My working relationships
1342,1993,Male,"Professional, Scientific and Technical Services","Technicians and trades  - Engineering, ICT and Science Technicians",Between 5 and 19,3,No,Multiple family household,6,Between 1 and 5 years,2,Regional," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely"," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3," 10%"," 0% - I would prefer not to work remotely",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Less Productive By 10 %,0.5,7,0,0,0,6,1,1,Connectivity (internet connection),My organisation's software and systems,The number of hours  I work,My work-life balance
1343,1978,Male,Accommodation and Food Services,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Regional," 20%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5," 30%"," 30%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 30%"," 30%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,More Productive By 30 %,1,23,0,0,1,23,0,0,"IT equipment (computer, printer, etc.)",Lack of remote working skills,The number of hours  I work,My work-life balance
1344,1963,Female,Other Services,"Clerical and administrative  - General Clerical ",More than 200,5,No,One  parent family with dependent children,3,Between 6 and 12 months,1,Regional," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly agree,5,Neither agree nor disagree,3,Strongly disagree,1,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 50 %,2,9,10,3,0,9,10,5,"IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",My work-life balance,My mental wellbeing
1345,1976,Female,"Electricity, Gas, Water and Waste Services","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3," 10%"," 10%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4," 1% - 9% - Less than 10% of my time"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 30 %,1,1,1,1,1,1,1,1,Poor management,Feeling left out and/or isolated,Preparing for work and commuting,My working relationships
1346,1996,Female,Administrative and Support Services,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time"," 60%",Somewhat agree,4,Somewhat disagree,2,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 40%",Somewhat disagree,2,Somewhat disagree,2,Strongly disagree,1,Less Productive By 10 %,2,8,4,1,0.25,8,4,2,"IT equipment (computer, printer, etc.)",Lack of motivation,My work-life balance,My working relationships
1347,1974,Male,"Professional, Scientific and Technical Services",Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 20%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,More Productive By 20 %,5,7,2,2,0.5,8,4,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Preparing for work and commuting,Preparing for work and commuting
1348,1969,Male,"Electricity, Gas, Water and Waste Services","Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3," 40%"," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 40%"," 40%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 40 %,3.5,8,4,3,1,8,4,5,Feeling left out and/or isolated,Management discourages remote working,My work-life balance,My on-the-job learning opportunities
1349,1960,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",I am the only employee,1,No,Single person,1,More than 5 years,3,Metro,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly disagree,1,Somewhat agree,4,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly disagree,1,Somewhat agree,4,100% - All of my time,100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,0,6,10,8,0,6,10,8,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My mental wellbeing
1350,1990,Female,"Professional, Scientific and Technical Services",Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4," 20%"," 90%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 90%"," 60%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 20 %,1.5,7.5,3,1,0.5,9,4,0.5,Lack of motivation,Poor management,My work-life balance,My working relationships
1351,1964,Male,Other Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3," 40%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 80%"," 60%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,1.5,9,3,0.5,0.25,9,4,1,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My working relationships
1352,1998,Female,Accommodation and Food Services,"Managers - Hospitality, Retail and Service Managers",More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 50% - About half of my time"," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,100% - All of my time," 30%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 30 %,1,8,5,2,1,8,8,2,Connectivity (internet connection),Poor management,My work-life balance,My daily expenses
1353,1994,Male,Construction,Professionals - Arts and Media Professionals,Between 5 and 19,3,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 40%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 40%"," 40%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4," 40%"," 40%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,More Productive By 50 %,3,8,8,5,3,8,6,7,Poor management,Lack of remote working skills,Preparing for work and commuting,My daily expenses
1354,1978,Female,Education and Training,Community and personal service  - Carers and Aides,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 30%",Strongly agree,5,Strongly agree,5,Strongly disagree,1,Strongly agree,5,Somewhat agree,4,Strongly disagree,1," 0% - I would not have preferred to work remotely"," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 20 %,1,7,2,2,0.5,6,3,2,Feeling left out and/or isolated,Connectivity (internet connection),Managing my family responsibilities,My on-the-job learning opportunities
1355,1992,Female,Accommodation and Food Services,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Regional," 10%",Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Strongly disagree,1,Somewhat agree,4,Somewhat disagree,2," 0% - I would not have preferred to work remotely"," 80%",Strongly disagree,1,Strongly disagree,1,Strongly agree,5,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4,100% - All of my time," 80%",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 30 %,1,11,2,2,0.25,5,5,5,Poor management,Lack of motivation,My work-life balance,My on-the-job learning opportunities
1356,1989,Female,Manufacturing,"Clerical and administrative  - General Clerical ",Between 20 and 199,4,Yes,Multiple family household,6,Between 1 and 5 years,2,Regional," 30%",Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4," 70%"," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 90%"," 50% - About half of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 50 %,6,8,1,2,0.5,9,4,4,Poor management,Caring responsibilities,My work-life balance,My working relationships
1357,1960,Female,Administrative and Support Services,"Clerical and administrative  - General Clerical ",Between 1 and 4,2,No,Couple with no dependent children,2,More than 5 years,3,Regional," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,100% - All of my time," 80%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Level Of The Productivity Is The Same,0.5,4,2,2,0.5,4,2,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,My job satisfaction,My working relationships
1358,1974,Female,Financial and Insurance Services,Sales  - Sales Representatives and Agents,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely",100% - I spent all of my time remote working,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Strongly disagree,1,Strongly agree,5," 1% - 9% - Less than 10% of my time"," 30%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 50 %,2,7,10,5,0,7,8,9,Feeling left out and/or isolated,Cyber security,Preparing for work and commuting,My working relationships
1359,1975,Female,Public Administration and Safety,"Clerical and administrative  - General Clerical ",Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 60%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 40%"," 40%",Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5," 40%"," 40%",Neither agree nor disagree,3,Neither agree nor disagree,3,Strongly agree,5,More Productive By 40 %,2,6,5,2,3,6,8,6,Caring responsibilities,Lack of remote working skills,My work-life balance,The number of hours  I work
1360,1971,Male,Retail Trade,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3," 50% - About half of my time"," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,0,10,3,1,0,10,3,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Preparing for work and commuting,The number of hours  I work
1361,1956,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Couple with no dependent children,2,Between 6 and 12 months,1,Regional," 60%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5," 90%"," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Strongly agree,5," 90%"," 90%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 20 %,1.85,4.5,0.5,2.65,0.3,4.5,1.5,2.2,Poor management,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My mental wellbeing,My opportunities to socialise
1362,1964,Female,Wholesale Trade,"Clerical and administrative  - Clerical and Office Support ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,8,3,1,0,8,2,2,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My opportunities to socialise
1363,1976,Female,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 60%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,1.5,8,2,1.5,0.5,7,1,1,Lack of motivation,Caring responsibilities,Preparing for work and commuting,My working relationships
1364,1988,Female,"Professional, Scientific and Technical Services","Clerical and administrative  - Clerical and Office Support ",Between 1 and 4,2,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely"," 70%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,0.3,7.5,3.5,1,0,7.5,3,2,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,The number of hours  I work
1365,1987,Female,"Rental, Hiring and Real Estate Services","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3," 30%"," 40%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 30%"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,1,1,1,1,2,1,2,1,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,My personal relationships,My working relationships
1366,1969,Female,Health Care and Social Assistance,Community and personal service  - Carers and Aides,I am the only employee,1,No,Single person,1,More than 5 years,3,Metro,100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,100% - All of my time,100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,100% - All of my time,100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,1,5,11,2,1,5,5,5,Cyber security,Feeling left out and/or isolated,The number of hours  I work,My work-life balance
1367,1987,Female,"Rental, Hiring and Real Estate Services","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 50% - I spent about half of my time remote working",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 30%"," 40%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 30%"," 40%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,1,0.5,1,0.5,1,0.5,1,0.5,Lack of motivation,Poor management,My personal relationships,Preparing for work and commuting
1368,1996,Female,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,One  parent family with dependent children,3,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 80%",100% - I spent all of my time remote working,Strongly disagree,1,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,100% - All of my time,100% - All of my time,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,3.5,8,3,1.5,0.5,9.5,5,2.5,Management discourages remote working,Caring responsibilities,Preparing for work and commuting,The number of hours  I work
1369,1957,Female,Other Services,Clerical and administrative  - Inquiry Clerks and Receptionists,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 0% - I would not have preferred to work remotely"," 1% - 9% - Less than 10% of my time",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1.5,8,4,2,0.75,8,6,2,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Managing my personal commitments,My working relationships
1370,1978,Male,Retail Trade,Sales  - Sales Assistants and Salespersons,Between 20 and 199,4,No,Single person,1,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,8,3,3,1,8,5,5,Lack of remote working skills,Lack of motivation,My daily expenses,Preparing for work and commuting
1371,1981,Female,Other Services,Professionals - Arts and Media Professionals,Between 5 and 19,3,Yes,One  parent family with dependent children,3,Between 6 and 12 months,1,Metro," 60%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4," 60%",100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,100% - All of my time," 80%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,2,9,1,1,0,9,3,3,Connectivity (internet connection),Feeling left out and/or isolated,My daily expenses,The number of hours  I work
1372,1959,Male,Accommodation and Food Services,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,NA,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 10%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Neither agree nor disagree,3,Strongly disagree,1,Somewhat agree,4," 20%"," 40%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4," 50% - About half of my time",NA,Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Level Of The Productivity Is The Same,2.5,6,5,3,0.25,7,6,4,Difficulty collaborating remotely,Feeling left out and/or isolated,Preparing for work and commuting,My on-the-job learning opportunities
1373,1964,Male,Manufacturing,Managers - Specialist Managers,Between 5 and 19,3,NA,Couple with dependent children,4,More than 5 years,3,Metro," 80%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 80%"," 90%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 90%",NA,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,2,4,2,1,1,7,1,2,My organisation's software and systems,Lack of motivation,My work-life balance,The number of hours  I work
