ID,Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Actual_Work_Time_Remotely,Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Year
2572,1068,1959,Female,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,5,No,Other one family household,5,More than 5 years,3,Regional," 0% - Rarely or never"," 40%"," 60%",Somewhat unlikely,2,Somewhat unlikely,2,Somewhat unlikely,2,More Productive By 20 %,2.5,7.5,2.5,5,0.5,7.5,1.5,6.5,Connectivity/internet issues,Lack of privacy,2021
2573,1069,1972,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Somewhat unlikely,2,Somewhat likely,4,Somewhat unlikely,2,More Productive By 10 %,2,10,5,1,1.18,11,6,1,Interruptions,Lack of privacy,2021
2574,1070,1968,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 60%"," 80%"," 80%",Very unlikely,1,Very unlikely,1,Very unlikely,1,More Productive By 30 %,3,8,3,3,0,8,6,3,Noisy work environment,Problems with audio-visual setup,2021
2575,1071,1971,Female,Public Administration and Safety,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,5,No,Other one family household,5,More than 5 years,3,Metro," 60%",100% - All of my time," 80%",Somewhat unlikely,2,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 50 %,2.25,7.35,2.89,4,0.1,7.35,4.5,4,Noisy work environment,Connectivity/internet issues,2021
2576,1072,1975,Female,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 1 and 4,2,Yes,Single person,1,Between 1 and 5 years,2,Metro," 30%"," 30%"," 30%",Very likely,5,Very likely,5,Very likely,5,More Productive By 10 %,1,10,4,1,0.5,11,3.5,1,Difficulty collaborating with remote colleagues,Connectivity/internet issues,2021
2577,1073,1957,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 0% - I would prefer not to work remotely",Somewhat unlikely,2,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 10 %,4,7,3,2,4,8,3,2,Problems with audio-visual setup,Difficulty innovating,2021
2578,1074,1981,Female,Other Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time," 90%",Neither unlikely or likely,3,Very likely,5,Very likely,5,More Productive By 20 %,3,8,3.5,1.5,0.5,8,6,1.5,Connectivity/internet issues,Difficulty innovating,2021
2579,1075,1981,Female,Administrative and Support,Clerical and administrative workers - Personal Assistants and Secretaries,Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 40%"," 20%",Very unlikely,1,Very unlikely,1,Very unlikely,1,Level Of The Productivity Is The Same,2.5,8.5,5,1,1,8.5,4.5,2,Interruptions,Difficulty innovating,2021
2580,1076,1994,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 1 and 4,2,No,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 50% - About half of my time"," 50% - About half of my time",Very unlikely,1,Very unlikely,1,Very unlikely,1,More Productive By 50 %,2,8,3,2,0,8,5,2,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,2021
2581,1077,1991,Male,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Single person,1,Between 1 and 5 years,2,Metro," 40%"," 10%"," 0% - I would prefer not to work remotely",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 30 %,1,8,6,2,0,8,6,2,Noisy work environment,Difficulty collaborating with remote colleagues,2021
2582,1078,1961,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 90%"," 80%"," 80%",Somewhat likely,4,Somewhat likely,4,Neither unlikely or likely,3,More Productive By 40 %,3,7,1,4,0,9,2,4,NA,NA,2021
2583,1079,1975,Female,Administrative and Support,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,5,No,Single person,1,More than 5 years,3,Metro," 30%"," 40%"," 30%",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,Level Of The Productivity Is The Same,1.5,7.5,5,2,0,8,6,2,Connectivity/internet issues,Lack of privacy,2021
2584,1080,1960,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 1 and 4,2,No,Single person,1,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Very likely,5,Very likely,5,Very likely,5,Less Productive By 10 %,0.5,9,3.5,2,0.5,9,3,2.5,NA,NA,2021
2585,1081,1982,Female,Other Services,Professionals - ICT Professionals,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 90%"," 90%"," 90%",Neither unlikely or likely,3,Very likely,5,Very likely,5,Level Of The Productivity Is The Same,2,8,2,7,0.5,9,1.5,8,Noisy work environment,Connectivity/internet issues,2021
2586,1082,1968,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",I am a sole trader/owner-operator,1,No,Couple with dependent children,4,More than 5 years,3,Metro,100% - I spent all of my time remote working," 80%"," 80%",Very likely,5,Very likely,5,Very likely,5,More Productive By 20 %,3,8,3,3,1.5,6,6,3,NA,NA,2021
2587,1083,1993,Female,"Professional, Scientific and Technical",Professionals - Arts and Media Professionals,More than 200,5,No,Group household,7,Between 6 and 12 months,1,Metro," 40%"," 50% - About half of my time"," 50% - About half of my time",Somewhat unlikely,2,Neither unlikely or likely,3,Somewhat unlikely,2,More Productive By 50 %,3,9,3,1,0,8,5,3,Noisy work environment,Connectivity/internet issues,2021
2588,1084,1986,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Group household,7,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Very unlikely,1,Very unlikely,1,Very unlikely,1,Less Productive By 30 %,1,6,8,1,0.5,5,8.5,2,NA,NA,2021
2589,1085,1973,Female,Administrative and Support,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Somewhat unlikely,2,Neither unlikely or likely,3,Very unlikely,1,Less Productive By 30 %,2,7,4,4,2,7,4,4,Problems with audio-visual setup,Noisy work environment,2021
2590,1086,1987,Female,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 40%"," 20%"," 20%",Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 50 %,2,7,3,4,0,6,5,5,NA,NA,2021
2591,1087,1988,Female,"Professional, Scientific and Technical",Professionals - Education Professionals,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time," 50% - About half of my time",Neither unlikely or likely,3,Somewhat likely,4,Neither unlikely or likely,3,More Productive By 20 %,1,8,4,3,0.5,11,3,2,NA,NA,2021
2592,1088,1984,Male,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 90%"," 90%"," 80%",Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 10 %,0.5,8,1.5,6,0,9,2,5,Difficulty collaborating with remote colleagues,Lack of privacy,2021
2593,1089,1978,Female,Information Media and Telecommunications,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,4,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%"," 60%"," 60%",Very unlikely,1,Very unlikely,1,Neither unlikely or likely,3,More Productive By 20 %,2.5,7.5,3,4,0,9,3,4,Interruptions,Connectivity/internet issues,2021
2594,1090,1970,Female,Education and Training,Professionals - ICT Professionals,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Regional," 90%"," 90%"," 80%",Somewhat unlikely,2,Neither unlikely or likely,3,Very unlikely,1,More Productive By 30 %,1,7,5,3,0.5,7,5.5,3,Lack of privacy,Connectivity/internet issues,2021
2595,1091,1974,Male,Manufacturing,Labourers - Factory Process Workers,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 90%"," 90%"," 90%",Somewhat unlikely,2,Somewhat unlikely,2,Somewhat likely,4,Level Of The Productivity Is The Same,2,8,2,4,2,8,4,2,NA,NA,2021
2596,1092,1977,Female,Education and Training,Clerical and administrative workers - Numerical Clerks,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 10%"," 10%",Somewhat unlikely,2,Neither unlikely or likely,3,Neither unlikely or likely,3,Level Of The Productivity Is The Same,1,8,5,3,0,8,6,3,Interruptions,Lack of privacy,2021
2597,1093,1959,Female,Information Media and Telecommunications,Professionals - ICT Professionals,Between 5 and 19,3,No,Group household,7,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Very unlikely,1,Very unlikely,1,Very unlikely,1,Level Of The Productivity Is The Same,1,9,6,2,0,9,8,1,NA,NA,2021
2598,1094,1971,Female,Education and Training,Professionals - Education Professionals,More than 200,5,No,One parent family with dependent children,3,More than 5 years,3,Metro," 30%"," 50% - About half of my time"," 50% - About half of my time",Very unlikely,1,Very unlikely,1,Very unlikely,1,More Productive By 50 %,4,6,2,6,1,8,3,6,Noisy work environment,Difficulty collaborating with remote colleagues,2021
2599,1095,1972,Female,Education and Training,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,100% - All of my time," 70%",Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 50 %,3,7,2,5,0,9,3,5,NA,NA,2021
2600,1096,1999,Female,Public Administration and Safety,"Managers - Hospitality, Retail and Service Managers",Between 1 and 4,2,No,Single person,1,Between 6 and 12 months,1,Regional," 20%"," 20%"," 30%",Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 40 %,1.5,7.5,4.5,5,0,9,5,5,Connectivity/internet issues,Lack of appropriate work and meeting spaces,2021
2601,1097,1984,Female,Financial and Insurance,Managers - Farmers and Farm Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%"," 10%"," 1% - 9% - Less than 10% of my time",Neither unlikely or likely,3,Somewhat likely,4,Somewhat unlikely,2,Less Productive By 20 %,5,8,2,2,3,8,3,2,Difficulty collaborating with remote colleagues,Interruptions,2021
2602,1098,1965,Female,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,One parent family with dependent children,3,Between 1 and 5 years,2,Metro," 90%"," 90%"," 50% - About half of my time",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 50 %,5,8,1,2,1.18,10,3,3,NA,NA,2021
2603,1099,1992,Male,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 60%"," 50% - About half of my time"," 30%",Somewhat likely,4,Very likely,5,Very likely,5,More Productive By 30 %,3,8,3,3,5,4,2,6,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,2021
2604,1100,1987,Female,Construction,Clerical and administrative workers - Inquiry Clerks and Receptionists,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 80%"," 80%"," 80%",Very likely,5,Very likely,5,Very likely,5,More Productive By 30 %,2,7,4,4,0,7,5,5,NA,NA,2021
2605,1101,1993,Male,Health Care and Social Assistance,Professionals - Health Professionals,Between 5 and 19,3,No,Group household,7,Between 1 and 5 years,2,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Neither unlikely or likely,3,Somewhat likely,4,Somewhat unlikely,2,More Productive By 30 %,0.5,20,2.5,1,2,12,2,1,NA,NA,2021
2606,1102,1987,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,4,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,100% - All of my time," 90%",Neither unlikely or likely,3,Somewhat likely,4,Somewhat likely,4,More Productive By 10 %,1.5,8,3,3.5,0.5,8,4,3.5,NA,NA,2021
2607,1103,1973,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,One parent family with dependent children,3,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Very unlikely,1,Very unlikely,1,Very unlikely,1,More Productive By 50 %,1,7,4,4,4,7,3,2,NA,NA,2021
2608,1104,1958,Female,Construction,"Managers - Hospitality, Retail and Service Managers",Between 1 and 4,2,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 20%"," 20%"," 10%",Very likely,5,Very likely,5,Very likely,5,Level Of The Productivity Is The Same,2,6.5,5,4,1,6.5,5,5,Noisy work environment,Problems with audio-visual setup,2021
2609,1105,1995,Male,Information Media and Telecommunications,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,Between 20 and 199,4,No,Multiple family household,6,Between 1 and 5 years,2,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 10%",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 50 %,2,5,4,3,1,2,4,3,NA,NA,2021
2610,1106,1995,Female,Financial and Insurance,Community and personal service workers - Health and Welfare Support Workers,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 60%"," 60%"," 40%",Very likely,5,Somewhat likely,4,Very likely,5,More Productive By 40 %,8,5,1,2,5,8,2,1,NA,NA,2021
2611,1107,1989,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Group household,7,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working," 90%"," 80%",Somewhat unlikely,2,Somewhat unlikely,2,Somewhat unlikely,2,More Productive By 40 %,2,10,1,3,0,10,5,1,Interruptions,Connectivity/internet issues,2021
2612,1108,1996,Male,Administrative and Support,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 30%"," 30%",Neither unlikely or likely,3,Somewhat likely,4,Somewhat unlikely,2,Less Productive By 30 %,3,8,5,0,0.5,8,7.5,0,Difficulty collaborating with remote colleagues,Noisy work environment,2021
2613,1109,1960,Female,Education and Training,Professionals - Education Professionals,Between 5 and 19,3,Yes,Single person,1,More than 5 years,3,Regional," 0% - Rarely or never",100% - All of my time,100% - All of my time,Very unlikely,1,Very unlikely,1,Neither unlikely or likely,3,More Productive By 50 %,1,4,2,2,0,8,4,2,Connectivity/internet issues,Noisy work environment,2021
2614,1110,1996,Female,Wholesale Trade,Professionals - ICT Professionals,Between 20 and 199,4,Yes,Multiple family household,6,Between 1 and 5 years,2,Regional," 60%"," 80%"," 80%",Very likely,5,Very likely,5,Very likely,5,More Productive By 50 %,2,12,4,4,12,3,3,4,NA,NA,2021
2615,1111,1988,Male,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 20%"," 50% - About half of my time"," 50% - About half of my time",Somewhat unlikely,2,Somewhat unlikely,2,Somewhat unlikely,2,More Productive By 20 %,2,10,3,1,0,10,5,1,NA,NA,2021
2616,1112,1997,Female,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,5,No,Other one family household,5,Between 1 and 5 years,2,Metro," 90%"," 50% - About half of my time"," 50% - About half of my time",Very likely,5,Very likely,5,Very likely,5,More Productive By 40 %,3,8,5,0,0.5,10,5,0,Noisy work environment,Lack of appropriate work and meeting spaces,2021
2617,1113,1988,Female,Public Administration and Safety,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Regional,100% - I spent all of my time remote working," 20%"," 20%",Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 20 %,3,10,1.5,1.5,0.5,10,3.5,1,NA,NA,2021
2618,1114,1969,Female,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 5 and 19,3,Yes,Other one family household,5,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Very likely,5,Very likely,5,Neither unlikely or likely,3,More Productive By 50 %,1,8,4,3,1,8,3,4,Interruptions,Difficulty innovating,2021
2619,1115,1974,Female,"Transport, Postal and Warehousing",Clerical and administrative workers - General Clerical Workers,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Very likely,5,Very likely,5,Very likely,5,More Productive By 20 %,1,7.5,3.5,4,0,9,4,4,Difficulty collaborating with remote colleagues,Noisy work environment,2021
2620,1116,1966,Female,Health Care and Social Assistance,Sales workers - Sales Representatives and Agents,Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro,100% - I spent all of my time remote working," 80%"," 70%",Somewhat likely,4,Neither unlikely or likely,3,Somewhat likely,4,More Productive By 50 %,1,9,3,3,0,10,3,3,NA,NA,2021
2621,1117,1985,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 90%"," 50% - About half of my time"," 50% - About half of my time",Very likely,5,Very likely,5,Very likely,5,Less Productive By 30 %,3,8,3,3,0.5,9.5,3,3,NA,NA,2021
2622,1118,1998,Male,Accommodation and Food,Clerical and administrative workers - Personal Assistants and Secretaries,Between 1 and 4,2,Yes,One parent family with dependent children,3,Between 6 and 12 months,1,Regional," 50% - I spent about half of my time remote working"," 70%"," 40%",Very likely,5,Somewhat unlikely,2,Neither unlikely or likely,3,More Productive By 10 %,10,4,4,4,6,6,4,6,NA,NA,2021
2623,1119,1963,Female,Information Media and Telecommunications,Technicians and trades workers - Other Technicians and Trades Workers,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 40%"," 40%"," 40%",Somewhat unlikely,2,Neither unlikely or likely,3,Somewhat likely,4,Level Of The Productivity Is The Same,0.4,7.5,3.5,3.6,0,7.5,5,2,Interruptions,Noisy work environment,2021
2624,1120,1994,Female,Other Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 90%"," 50% - About half of my time"," 50% - About half of my time",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,Level Of The Productivity Is The Same,1,8,6,1,0.5,8,6,1.5,Interruptions,Lack of privacy,2021
2625,1121,1971,Female,Health Care and Social Assistance,Managers - Specialist Managers,Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro," 80%",100% - All of my time,100% - All of my time,Somewhat unlikely,2,Somewhat unlikely,2,Somewhat unlikely,2,More Productive By 50 %,3,8,5,2,1,9,5,2,NA,NA,2021
2626,1122,1987,Female,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 30%"," 30%"," 30%",Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 30 %,2,8,3,3,3,8,2,3,NA,NA,2021
2627,1123,1976,Female,"Transport, Postal and Warehousing",Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 70%"," 50% - About half of my time",Somewhat unlikely,2,Somewhat likely,4,Somewhat unlikely,2,More Productive By 20 %,0.5,10,3.5,2,0,12,2,2,Difficulty innovating,Lack of privacy,2021
2628,1124,1991,Male,"Transport, Postal and Warehousing",Managers - Specialist Managers,More than 200,5,Yes,Single person,1,More than 5 years,3,Metro," 30%"," 60%"," 50% - About half of my time",Very unlikely,1,Very unlikely,1,Somewhat unlikely,2,Less Productive By 30 %,1.5,8.5,4,2,0.2,4,5.8,2,NA,NA,2021
2629,1125,1998,Male,Information Media and Telecommunications,"Technicians and trades workers - Engineering, ICT and Science Technicians",Between 20 and 199,4,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Very likely,5,Very likely,5,Very likely,5,More Productive By 30 %,2,7,3,5,0,7,5,5,NA,NA,2021
2630,1126,1980,Female,Public Administration and Safety,Managers - Specialist Managers,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 20 %,4,6,4,4,0,7,4,5,Connectivity/internet issues,Noisy work environment,2021
2631,1127,1989,Female,Accommodation and Food,Technicians and trades workers - Food Trades Workers,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Regional," 0% - Rarely or never"," 50% - About half of my time"," 20%",Very unlikely,1,Very unlikely,1,Very unlikely,1,More Productive By 10 %,2.5,8,2.5,3,0.5,8,4.5,3,Problems with audio-visual setup,Difficulty innovating,2021
2632,1128,1976,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 70%"," 70%"," 30%",Somewhat likely,4,Very likely,5,Somewhat likely,4,More Productive By 40 %,2,5,6,5,2,5,6,5,NA,NA,2021
2633,1129,2000,Female,Education and Training,Professionals - Education Professionals,I am a sole trader/owner-operator,1,Yes,Single person,1,Between 1 and 5 years,2,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Somewhat likely,4,Somewhat likely,4,Somewhat likely,4,More Productive By 50 %,3,3,5,5,1,2,8,5,NA,NA,2021
2634,1130,1960,Male,Education and Training,Professionals - Education Professionals,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Regional," 10%"," 10%"," 10%",Somewhat unlikely,2,Neither unlikely or likely,3,Somewhat likely,4,Level Of The Productivity Is The Same,0.5,7,5,3.5,0,7,6,3,Lack of appropriate work and meeting spaces,Connectivity/internet issues,2021
2635,1131,1972,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 40%",Somewhat likely,4,Very likely,5,Very likely,5,More Productive By 40 %,4,8,1,3,3,8,3,2,Interruptions,Lack of appropriate work and meeting spaces,2021
2636,1132,1987,Female,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 0% - Rarely or never"," 40%"," 40%",Very unlikely,1,Very unlikely,1,Very unlikely,1,More Productive By 30 %,1.5,8,6.5,0,0,10,6,3.03,NA,NA,2021
2637,1133,1983,Female,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,More Productive By 30 %,1,8,4,3,1,8,3,4,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,2021
2638,1134,1960,Female,Retail Trade,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro,100% - I spent all of my time remote working," 80%"," 50% - About half of my time",Very likely,5,Very likely,5,Very likely,5,More Productive By 30 %,2.5,9,2.5,2,0,12,2,2,Problems with audio-visual setup,Noisy work environment,2021
2639,1135,1966,Female,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,4,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 80%"," 70%"," 70%",Somewhat likely,4,Somewhat likely,4,Very likely,5,Level Of The Productivity Is The Same,1,8.5,4.5,3,0.5,8.5,5,3,Problems with audio-visual setup,Noisy work environment,2021
2640,1136,1993,Male,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 60%"," 60%"," 60%",Very likely,5,Somewhat likely,4,Very likely,5,More Productive By 30 %,3,8,1,4,2,8,2,2,NA,NA,2021
2641,1137,1976,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 10%"," 50% - About half of my time"," 50% - About half of my time",Neither unlikely or likely,3,Neither unlikely or likely,3,Somewhat unlikely,2,More Productive By 50 %,1,6,5,4,0.5,8,4,3.5,Problems with audio-visual setup,Noisy work environment,2021
2642,1138,1995,Male,"Professional, Scientific and Technical",Technicians and trades workers - Construction Trades Workers,Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Very likely,5,Somewhat likely,4,Very likely,5,More Productive By 30 %,1,7,5,4,0,7,5,5,NA,NA,2021
2643,1139,1983,Male,Financial and Insurance,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%"," 10%"," 1% - 9% - Less than 10% of my time",Somewhat likely,4,Neither unlikely or likely,3,Neither unlikely or likely,3,Less Productive By 20 %,5,8,2,2,7,8,2,1,Difficulty collaborating with remote colleagues,Noisy work environment,2021
2644,1140,1986,Female,Health Care and Social Assistance,Community and personal service workers - Carers and Aides,More than 200,5,No,One parent family with dependent children,3,Between 6 and 12 months,1,Regional,100% - I spent all of my time remote working," 30%",100% - All of my time,Neither unlikely or likely,3,Neither unlikely or likely,3,Neither unlikely or likely,3,Level Of The Productivity Is The Same,2,9,2,3,1,9,3,4,Difficulty innovating,Interruptions,2021
2645,1141,1994,Male,"Transport, Postal and Warehousing",Technicians and trades workers - Automotive and Engineering Trades Workers,Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 90%"," 90%",100% - All of my time,Somewhat likely,4,Very likely,5,Very likely,5,More Productive By 40 %,0,7,5,5,0,7,5,5,NA,NA,2021
2646,1142,1992,Male,"Transport, Postal and Warehousing",Technicians and trades workers - Automotive and Engineering Trades Workers,Between 5 and 19,3,No,Single person,1,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Neither unlikely or likely,3,Neither unlikely or likely,3,Somewhat unlikely,2,More Productive By 30 %,2,8,2,4,2,8,3,3,Lack of privacy,Noisy work environment,2021
